CX,CG,"DATE_FROM
[yyyy-mm-dd]","DATE_TO
[yyyy-mm-dd]","ON CALL
TIME?",WK,TR,TTL
CX_334Z0,CG_WDJF2,2018-05-07,2018-05-17,NO,7.50,0.75,8.25
CX_334Z0,CG_TOXQU,2018-05-06,2018-05-19,NO,17.00,0.00,17.00
CX_6G2XO,CG_K1BU8,2018-05-06,2018-05-19,NO,23.50,0.00,23.50
CX_K6PLD,CG_OLHKU,2018-05-06,2018-05-19,NO,44.00,0.00,44.00
CX_38IZM,CG_C5RDD,2018-05-06,2018-05-19,NO,17.00,0.00,17.00
CX_B61HP,CG_M8VW1,2018-05-06,2018-05-19,NO,20.00,0.00,20.00
CX_MHEX7,CG_DDX5M,2018-05-07,2018-05-17,NO,32.00,2.00,34.00
CX_MHEX7,CG_1UK0Q,2018-05-06,2018-05-19,NO,24.00,1.50,25.50
CX_96IJX,CG_1NWRZ,2018-05-06,2018-05-19,NO,42.00,0.00,42.00
CX_CMEG7,CG_1R9I6,2018-05-08,2018-05-19,NO,21.00,2.00,23.00
CX_8YJYL,CG_NIERI,2018-05-08,2018-05-19,NO,22.50,1.50,24.00
CX_BBPK5,CG_WDJF2,2018-05-07,2018-05-17,NO,18.00,1.00,19.00
